id,parsed_jt,certification,llm_evaluation,llm_explanation,certification_names,jt-certification match,cluster,cluster_label,seniority
31,1st Grade Teacher,CPR certification,MATCH,CPR certification is often required or recommended for teachers for student safety.,CPR certification,POSSIBLE MATCH,2,Education Professionals,Non-managerial
32,1st Grade Teacher,CPR certification,MATCH,CPR certification is often required or highly recommended for teachers for student safety.,CPR certification,POSSIBLE MATCH,2,Education Professionals,Non-managerial
33,1st Grade Teacher 1st Teacher,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,"Teaching positions, like 1st Grade Teacher, typically require state licensure as mandated by the AHJ.",Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,2,Education Professionals,Non-managerial
34,1st Teacher,CPR certification,MATCH,"CPR certification is often required or beneficial for teachers, especially those working with young children.",CPR certification,POSSIBLE MATCH,2,Education Professionals,Non-managerial
36,21st Century Program Site Coordinator,CPR certification,MATCH,"Site coordinators often work with children or the public, making CPR a relevant safety certification.",CPR certification,POSSIBLE MATCH,2,Education Professionals,Managerial
37,21st Century Site Coordinator,CPR certification,MATCH,Site Coordinators in educational or community settings often require CPR for safety and emergency preparedness.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Managerial
46,3rd Grade Lead Teacher,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Teaching positions typically require licensure from the relevant governing authority.,Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,2,Education Professionals,Managerial
54,5th Grade Elementary Teacher,CPR certification,MATCH,CPR certification is often required or recommended for teachers for student safety.,CPR certification,NO MATCH,2,Education Professionals,Non-managerial
55,6G Certified Welder,Welding certification,MATCH,The job title explicitly requires a welder to be certified; 'Welding certification' is directly relevant.,Welding certification,MATCH,0,Skilled Trades & Technicians,Non-managerial
56,6G Certified Welder,Welding certification,MATCH,"6G is a specific type of welding certification, making a general welding certification highly relevant.",Welding certification,MATCH,0,Skilled Trades & Technicians,Non-managerial
57,6G Pipe Welder,Welding certification,MATCH,Welding certifications are typically required for specialized pipe welding positions like 6G.,Welding certification,MATCH,0,Skilled Trades & Technicians,Non-managerial
61,911 Telecommunications Dispatcher,CPR certification,MATCH,"CPR certification is often required for 911 dispatchers as they may provide pre-arrival instructions, including CPR guidance.",CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
62,9th Grade Technology Teacher Early College Liaison,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Teaching positions typically require licensure from the relevant Authority Having Jurisdiction (AHJ).,Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,2,Education Professionals,Non-managerial
63,A & B Truck Driver,OSHA 10 certification,MATCH,OSHA 10 is a general safety certification relevant for truck drivers operating heavy vehicles and in varied work environments.,OSHA 10 certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
84,ABA Behavior Technician,CPR certification,MATCH,"CPR is often required for roles involving direct care, especially with vulnerable populations like those ABA Technicians serve.",CPR certification,NO MATCH,7,Behavioral Health Specialists,Non-managerial
88,ABA Behavior Technician,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,"Licensure, as specified by an Authority Having Jurisdiction (AHJ), is often a requirement for ABA Behavior Technicians.",Licensure as required by Authority Having Jurisdiction (AHJ),NO MATCH,7,Behavioral Health Specialists,Non-managerial
93,ABA Behavior Therapist,CPR certification,MATCH,CPR is often a required safety certification for direct client care roles like ABA Therapist.,CPR certification,NO MATCH,7,Behavioral Health Specialists,Non-managerial
109,ABA Paraprofessional,CPR certification,MATCH,CPR is commonly required for safety in direct care roles like ABA Paraprofessional.,CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
110,ABA Paraprofessional,CPR certification,MATCH,"CPR is often required for direct care roles, including those working with vulnerable individuals like ABA Paraprofessionals.",CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
111,ABA Paraprofessional,CPR certification,MATCH,"CPR is often required for direct care roles, including those working with vulnerable individuals like ABA Paraprofessionals.",CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
112,ABA Paraprofessional,CPR certification,MATCH,"CPR is often required for direct care roles, including those working with vulnerable individuals like ABA Paraprofessionals.",CPR certification,POSSIBLE MATCH,7,Behavioral Health Specialists,Non-managerial
113,ABA Program Director,CPR certification,MATCH,CPR is a common safety certification for roles involving client care or supervision in therapeutic settings.,CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Managerial
140,ABA Tutor,CPR certification,MATCH,"CPR is often required for roles involving direct client care, which ABA Tutors provide.",CPR certification,NO MATCH,8,Community & Recreation Services,Non-managerial
148,ACADEMIC GLAUCOMA SURGEON OPHTHALMOLOGY VISUAL SCIENCES,CPR certification,MATCH,"CPR is a common requirement for medical professionals, including surgeons, for emergency response.",CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
161,ACLS Instructor,CPR certification,MATCH,CPR is a foundational skill for ACLS; an ACLS Instructor would typically hold CPR certification.,CPR certification,POSSIBLE MATCH,1,Healthcare Professionals,Non-managerial
193,ADVANCED PRACTICE PROVIDER Hematology Medical Oncology,CPR certification,MATCH,"CPR is a fundamental certification for healthcare providers, including Advanced Practice Providers in oncology.",CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
194,ADVANCED PRACTICE PROVIDER SOLID TUMOR ONCOLOGY Medicine Hematology Medical Oncology,CPR certification,MATCH,"CPR is a standard requirement for healthcare providers, including those in oncology.",CPR certification,MATCH,1,Healthcare Professionals,Non-managerial
201,AHA BLS CPR Instructor,CPR certification,MATCH,CPR certification is a foundational requirement for a CPR Instructor.,CPR certification,MATCH,8,Community & Recreation Services,Non-managerial
241,AOI Operator,OSHA certification,MATCH,OSHA certification is relevant for safety in manufacturing roles like AOI Operator.,OSHA certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
241,AOI Operator,OSHA 10 certification,MATCH,OSHA 10 is a general safety certification often relevant for manufacturing roles like AOI Operator.,OSHA 10 certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
250,AP Chemistry Certified Teacher,CPR certification,MATCH,CPR certification is commonly required or relevant for teachers due to student safety responsibilities.,CPR certification,POSSIBLE MATCH,2,Education Professionals,Non-managerial
263,APN - NP,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Nurse Practitioners (NP) require licensure by the relevant authority to practice legally.,Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,1,Healthcare Professionals,Non-managerial
264,APN - NP T1,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,"Advanced Practice Nurses (NPs) require licensure to practice, making this a direct match.",Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,1,Healthcare Professionals,Non-managerial
265,APN - NP T2,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Nurse Practitioners require licensure by the relevant authority to practice.,Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,1,Healthcare Professionals,Non-managerial
266,APN - NP T3,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Nurse Practitioners (NP) require licensure by the relevant authority (AHJ) to practice.,Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,1,Healthcare Professionals,Non-managerial
267,APN Nurse Practitioner,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Nurse Practitioners require licensure by the relevant authority to practice legally.,Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,1,Healthcare Professionals,Non-managerial
284,APRN NP Psychiatric,CPR certification,MATCH,"CPR is a common requirement for healthcare professionals, including Nurse Practitioners.",CPR certification,NO MATCH,7,Behavioral Health Specialists,Non-managerial
300,ARDMS RDCS Adult Echocardiography ( AE Tutor,CPR certification,MATCH,"CPR is commonly required for healthcare professionals and educators, including tutors in medical imaging fields.",CPR certification,MATCH,3,Allied Health & Biomedical,Non-managerial
320,ASD Teaching Assistant,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,ASD Teaching Assistants often require specific licensure mandated by the local governing authority.,Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,2,Education Professionals,Non-managerial
334,ASSISTANT ATTORNEY GENERAL COUNSEL II,Licensure as required by Authority Having Jurisdiction (AHJ),MATCH,Attorneys require licensure by the relevant jurisdiction (bar admission) to practice law.,Licensure as required by Authority Having Jurisdiction (AHJ),POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
340,ASSISTANT INSTRUCTOR COMMUNITY EDUCATION,First Aid certification,MATCH,First Aid is highly relevant for instructors ensuring participant safety in community settings.,First Aid certification,POSSIBLE MATCH,8,Community & Recreation Services,Non-managerial
341,ASSISTANT MANAGER DANCE PROGRAMS Physical Education Recreation Dance,CPR certification,MATCH,"CPR is often required for roles involving physical activity, recreation, and participant safety.",CPR certification,POSSIBLE MATCH,8,Community & Recreation Services,Managerial
342,ASSISTANT NURSE DIRECTOR,CPR certification,MATCH,"CPR is a standard and often required certification for nursing roles, including leadership positions.",CPR certification,MATCH,9,Nursing & Healthcare,Managerial
353,ATHLETIC TRAINER,CPR certification,MATCH,CPR certification is commonly required for Athletic Trainers to respond to medical emergencies.,CPR certification,MATCH,8,Community & Recreation Services,Non-managerial
